Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-60,-50,0,11237393.56,22474787.12,33712180.69,41540663.27,45986651.57,35046125.62,26577055.55,18889504.43,11889065.21,5496344.903,4315701.568,3232738.384,2238246.524,1323564.495,480945.2309,50649146.13,97025256.85,139915171.1,179666831.5,216545442,209926300.7,203659694,197674065.7,192023856,186666240.1,181367754.4,176340554.2,171550814.6,166995946.6,162636016.9,129106715.7,97495519.07,67659799.04,39485816.88,12876784.27,0,0,0,0,0,0,0,0,0,0
-50,-40,1916466517,1858277388,1800088260,1741899131,1556019861,1330419935,975358688.7,695584978.1,441740167.1,210718073.6,0,1084804.61,2075406.605,2981357.448,3811004.456,4570304.842,3514655.729,2536374.44,1628077.571,784588.5431,0,587137844.3,1134153771,1643917584,2119849460,2564571568,2488390722,2416148082,2347363490,2281986344,2219456806,2174800744,2132038671,2090780754,2050812916,2012188668,1968390217,1926974157,1885558097,1844142037,1802725977,1761309917,1719893857,1678477797,1637061737,1595645678
-40,-30,6838038348,6626976633,6415914918,6204853203,5539230973,4732919207,3740291927,2988922971,2306503581,1684614682,1115852651,1876722705,2570536471,3204234118,3783756293,4313024798,4248276704,4186137982,4125322249,4067400418,4011722363,3290601262,2616909213,1986395256,1396581611,844002017.9,817315834.6,792026391,767968300.4,745117737.8,723285120.4,782518865.3,838030688,889971706.4,938511269.9,983912413.3,1041677147,1093764424,1145851701,1197938978,1250026255,1302113532,1354200809,1406288086,1458375363,1510462640
-30,-20,225195811.6,913614233.7,1602032656,2290451078,2752956327,3001519719,3883485635,4769958284,5570006654,6292993593,6942921710,5812483816,4774091181,3819289296,2939914388,2128162541,2203228839,2271494234,2332976711,2389193122,2440388464,2331678786,2229273241,2132198674,2040869883,1954651893,1872980270,1795781903,1722583145,1653240595,1587249494,1424146636,1270111775,1124371654,986348110.1,855642827.6,696261513.2,550056683.8,403851854.4,257647024.9,111442195.5,0,0,0,0,0
-20,-10,860878281.8,819048906.7,777219531.6,735390156.5,640962130.5,533414531.2,501276626.2,488495786.1,476619963,465475875.7,454687948,702500266,928392177.1,1134643766,1323196906,1495307932,1268153136,1057375247,861279703.6,678992304.4,509205373.2,485060807.7,462331516.4,440807299.8,420566195.3,401469183.5,383055749.5,365663238.7,349186893,333589982.4,318763414.6,304294970.7,290572224.9,277508823.7,265047918,253170383.1,239015984.2,225908278,212800571.8,199692865.6,186585159.4,173477453.2,160369747,147262040.8,134154334.7,121046628.5
-10,0,11095238314,10319086727,9542935141,8766783555,7384633947,5904746393,5092694474,4539748376,4036111481,3575427239,3150912361,2624119169,2140294337,1695479744,1285864496,907831340.6,862778895.7,820650780.5,780984564.6,743893103.1,709073416.5,675364707.4,643632737.9,613584377.1,585327785,558668986.7,535563880.4,513722470.1,493010465.2,473387935.9,454711400.8,434002829.8,414362076,395665695.3,377832368,360834581.3,340575638.8,321815871.3,303056103.7,284296336.2,265536568.7,246776801.1,228017033.6,209257266.1,190497498.5,171737731
0,0,99291367.73,105729568.8,112167769.9,118605971,115561002.2,107612749.3,105809378.8,107451354.8,108872903.1,110084590,111037578.2,101472347.4,92639867.45,84479887.81,76927357.44,69904222.36,66435084.95,63191127.78,60136742.85,57280619.89,54599428.87,52003959.14,49560691.11,47247054.05,45071377.2,43018724.91,38442367.28,34137683.56,30081574.41,26258544.29,22648295.23,21616868.65,20638626.37,19707419.99,18819199.22,17972593.78,16963561.68,16029198.2,15094834.72,14160471.24,13226107.75,12291744.27,11357380.79,10423017.31,9488653.824,8554290.341
0.1,10,16979770002,15443552022,13907334043,12371116063,10013195016,7610575523,5948820532,4681456069,3530611983,2482112221,1523674183,1235261605,970551198.4,727332463.9,503503474.7,297130133.4,282384709,268596401.1,255613858.3,243474018.5,232077717.8,221044930.3,210659125.7,200824362.8,191576042.1,182850675.9,174438349.5,166492618.2,158965651.8,151840606.5,145067710.4,138461142.2,132195234.2,126230604.3,120541309.3,115118572.2,108655446.8,102670594.8,96685742.81,90700890.81,84716038.82,78731186.83,72746334.83,66761482.84,60776630.85,54791778.85
10,20,1170306671,1677330834,2184354997,2691379160,2955841021,3032735336,3568591707,4143906351,4662490770,5130349362,5549481873,5223302204,4920555652,4639568225,4378257419,4133556245,3928487209,3736728402,3556174672,3387340321,3228846157,3075497964,2931140949,2794441032,2665891595,2544610015,2427677292,2317229385,2212601291,2113559212,2019410954,1927570463,1840464709,1757545951,1678453455,1603065461,1513218774,1430018853,1346818931,1263619010,1180419089,1097219167,1014019246,930819324.7,847619403.4,764419482
20,30,8532184037,7613808235,6695432433,5777056630,4490205471,3224972647,2649371904,2228262728,1845458275,1496202021,1176029068,1107983853,1044810919,986165010.4,931613100.9,880511162.5,836814769.7,795954683.3,757482390.8,721507352.8,687735708.9,655041133.3,624263829,595119485.1,567713005.1,541856250.4,516927591.4,493381615.1,471076583,449962582,429892119.5,410313868.1,391745150.2,374069259.4,357209314.7,341139305,321986140.5,304250322.6,286514504.8,268778687,251042869.2,233307051.4,215571233.6,197835415.7,180099597.9,162363780.1
